Order,openTime,Type,Size,Symbol,openPrice,S/L,T/P,closeTime,closePrice,Commission,Taxes,Swap,Profit
24464440,2019.09.02 01:33:23,buy,0.01,gbpusd,1.2163,1.208,0,2019.09.02 01:33:50,1.2159,0,0,0,-0.4
24464454,2019.09.02 01:33:23,buy,0.04,gbpusd,1.2163,1.208,0,2019.09.02 11:55:28,1.20799,0,0,0,-33.24
24471787,2019.09.02 06:58:46,buy,0.05,eurusd,1.09915,1.094,0,2019.09.03 04:04:43,1.09399,0,0,0,-25.8
24518282,2019.09.03 04:49:15,buy,0.01,gbpjpy,128.178,127.8,0,2019.09.03 04:49:22,128.145,0,0,0,-0.31
24518288,2019.09.03 04:49:15,buy,0.04,gbpjpy,128.178,127.8,0,2019.09.03 08:37:26,127.8,0,0,0,-14.24
24518296,2019.09.03 04:49:42,buy,0.01,audusd,0.6702,0.666,0,2019.09.03 04:49:54,0.66991,0,0,0,-0.29
24518303,2019.09.03 04:49:42,buy,0.04,audusd,0.6702,0.666,0.683,2019.09.03 15:47:53,0.67284,0,0,0,10.56
24518320,2019.09.03 04:50:18,buy,0.01,usdjpy,106.372,105.8,0,2019.09.03 04:50:27,106.345,0,0,0,-0.25
24518329,2019.09.03 04:50:18,buy,0.04,usdjpy,106.372,105.8,0,2019.09.03 17:04:26,105.8,0,0,0,-21.63
24766404,2019.09.11 01:52:07,buy,0.01,xauusd,1487.63,1473,0,2019.09.11 01:52:25,1487.05,0,0,0,-0.58
24766410,2019.09.11 01:52:07,buy,0.04,xauusd,1487.63,1473,0,2019.09.11 14:11:29,1492.74,0,0,0,20.44
24778231,2019.09.11 14:33:24,buy,0.06,usdmxn,19.52363,19.43,0,2019.09.12 14:48:03,19.42847,0,0,0,-29.39
24850230,2019.09.13 00:14:20,buy,0.06,usdmxn,19.44123,0,0,2019.09.25 15:24:28,19.58155,0,0,0,43
24853645,2019.09.13 05:27:30,buy,0.06,xauusd,1497.97,1491,0,2019.09.13 10:58:49,1504.48,0,0,0,39.06
24881355,2019.09.13 18:32:01,buy,0.06,xauusd,1494.14,0,0,2019.09.16 01:24:24,1501.74,0,0,0,45.6
24883777,2019.09.13 22:01:23,buy,0.06,xauusd,1487.17,0,0,2019.09.13 23:48:34,1488.57,0,0,0,8.4
24929591,2019.09.17 05:35:53,buy,0.06,eurusd,1.10122,1.0975,0,2019.09.17 15:26:48,1.10214,0,0,0,5.52
25011739,2019.09.19 06:15:39,buy,0.06,eurusd,1.10373,0,0,2019.09.19 15:33:37,1.10639,0,0,0,15.96
25027858,2019.09.19 16:00:58,buy,0.06,usdmxn,19.32863,0,0,2019.09.19 17:53:54,19.37814,0,0,0,15.33
25042946,2019.09.19 23:03:33,buy,0.06,eurusd,1.10451,1.101,0,2019.09.20 07:27:14,1.10573,0,0,0,7.32
25043204,2019.09.19 23:04:41,buy,0.06,eurusd,1.10454,1.101,0,2019.09.20 07:27:10,1.10573,0,0,0,7.14
25188529,2019.09.25 18:22:33,buy,0.08,usdmxn,19.56233,19.59,19.9,2019.09.26 21:00:44,19.57897,0,0,0,6.8
25188553,2019.09.25 18:23:20,buy,0.01,usdmxn,19.56103,19.59,19.9,2019.09.26 21:00:44,19.58247,0,0,0,1.09
25193432,2019.09.25 20:05:46,buy,0.08,eurusd,1.09455,1.0915,1.111,2019.09.26 22:33:46,1.09148,0,0,0,-24.56
24311675,2019.08.27 06:18:03,sell,0.04,eurjpy,117.407,117.7,0,2019.08.27 06:20:11,117.423,0,0,0,-0.61
24311730,2019.08.27 06:22:44,sell,0.04,eurjpy,117.389,117.7,0,2019.08.27 06:23:28,117.412,0,0,0,-0.87
24311745,2019.08.27 06:23:44,sell,0.04,eurjpy,117.368,0,0,2019.08.27 06:24:13,117.402,0,0,0,-1.29
24315841,2019.08.27 06:45:16,sell,0.05,eurjpy,117.343,117.65,117.1,2019.08.27 09:16:08,117.315,0,0,0,1.32
24315970,2019.08.27 06:52:01,sell,0.04,eurusd,1.11005,1.1126,1.107,2019.08.27 09:16:04,1.11027,0,0,0,-0.88
24318553,2019.08.27 09:31:20,sell,0.05,eurgbp,0.90821,0.912,0.903,2019.08.27 13:31:11,0.90559,0,0,0,16.07
24325707,2019.08.27 13:56:24,sell,0.04,eurusd,1.1106,1.113,1.107,2019.08.27 13:57:03,1.11093,0,0,0,-1.32
24325723,2019.08.27 13:57:22,sell,0.04,eurusd,1.11062,1.113,1.107,2019.08.27 13:57:57,1.11079,0,0,0,-0.68
24325740,2019.08.27 13:58:20,sell,0.05,eurusd,1.11049,1.113,1.107,2019.08.27 14:02:05,1.1109,0,0,0,-2.05
24427784,2019.08.30 02:42:53,sell,0.02,usdjpy,106.495,106.8,0,2019.08.30 02:53:33,106.477,0,0,0,0.34
24428006,2019.08.30 02:42:53,sell,0.06,usdjpy,106.495,106.8,0,2019.08.30 17:02:18,106.14,0,0,0,20.07
24464433,2019.09.02 01:33:09,sell,0.01,usdcad,1.33202,1.338,0,2019.09.02 01:33:56,1.33237,0,0,0,-0.26
24464463,2019.09.02 01:33:09,sell,0.04,usdcad,1.33202,1.338,0,2019.09.03 15:20:26,1.33802,0,0,0,-17.94
24518336,2019.09.03 04:50:57,sell,0.05,xauusd,1524.4,1538,0,2019.09.03 16:23:12,1538,0,0,0,-68
24582538,2019.09.04 04:10:47,sell,0.1,usdcad,1.33315,1.335,0,2019.09.04 17:00:25,1.32928,0,0,0,29.11
24652480,2019.09.05 20:48:18,sell,0.05,eurusd,1.10362,1.106,0,2019.09.06 13:50:46,1.10302,0,0,0,3
24652485,2019.09.05 20:48:35,sell,0.05,audusd,0.68148,0.686,0,2019.09.06 13:50:41,0.6839,0,0,0,-12.1
24652590,2019.09.05 20:56:36,sell,0.05,gbpusd,1.23158,1.236,0,2019.09.06 13:50:38,1.22971,0,0,0,9.35
24660928,2019.09.06 06:05:00,sell,0.04,usdcad,1.32292,1.326,0,2019.09.06 06:05:20,1.32329,0,0,0,-1.12
24660946,2019.09.06 06:05:38,sell,0.04,usdcad,1.32294,1.326,0,2019.09.06 06:05:52,1.32326,0,0,0,-0.97
24660956,2019.09.06 06:06:00,sell,0.05,usdcad,1.32291,1.326,0,2019.09.06 13:50:35,1.3231,0,0,0,-0.72
24669796,2019.09.06 14:01:24,sell,0.05,usdcad,1.32248,1.326,1.311,2019.09.06 15:30:49,1.3187,0,0,0,14.33
24669813,2019.09.06 14:01:52,sell,0.05,eurusd,1.1027,1.106,1.094,2019.09.06 15:30:53,1.1036,0,0,0,-4.5
24766416,2019.09.11 01:54:34,sell,0.01,eurusd,1.10473,1.112,0,2019.09.11 01:54:40,1.10499,0,0,0,-0.26
24766426,2019.09.11 01:54:34,sell,0.04,eurusd,1.10473,1.112,0,2019.09.11 14:11:23,1.10122,0,0,0,14.04
24769913,2019.09.11 07:06:14,sell,0.05,usdjpy,107.765,108.1,0,2019.09.11 14:11:19,107.719,0,0,0,2.14
24778151,2019.09.11 14:26:37,sell,0.06,eurusd,1.10042,1.103,0,2019.09.11 17:18:40,1.09901,0,0,0,8.46
24803133,2019.09.12 05:40:12,sell,0.06,gbpusd,1.23265,1.236,0,2019.09.12 15:48:51,1.22902,0,0,0,21.78
24868147,2019.09.13 13:43:31,sell,0.06,eurusd,1.10976,1.113,0,2019.09.13 16:47:28,1.10689,0,0,0,17.22
24898980,2019.09.16 07:42:05,sell,0.06,xauusd,1504.16,1515,0,2019.09.16 20:34:11,1503.59,0,0,0,3.42
24898989,2019.09.16 07:44:47,sell,0.06,gbpusd,1.24659,1.252,0,2019.09.16 14:52:43,1.24387,0,0,0,16.32
24899012,2019.09.16 07:51:17,sell,0.06,eurusd,1.10721,1.113,0,2019.09.16 14:49:38,1.10332,0,0,0,23.34
24910005,2019.09.16 15:08:18,sell,0.06,gbpusd,1.24518,1.2485,0,2019.09.16 20:34:08,1.24218,0,0,0,18
24940198,2019.09.17 15:39:46,sell,0.06,eurusd,1.10216,1.1035,0,2019.09.17 16:17:43,1.10352,0,0,0,-8.16
24955804,2019.09.17 18:31:58,sell,0.06,eurusd,1.10538,1.1055,0,2019.09.18 21:16:55,1.10311,0,0,0,13.62
25013774,2019.09.19 08:38:40,sell,0.06,gbpusd,1.24725,1.252,1.23,2019.09.19 15:41:41,1.24699,0,0,0,1.56
25115634,2019.09.24 01:09:37,sell,0.08,xauusd,1522.78,1532,0,2019.09.24 01:10:35,1523.39,0,0,0,-4.88
25115653,2019.09.24 01:10:44,sell,0.04,xauusd,1522.8,0,0,2019.09.24 01:12:25,1523.59,0,0,0,-3.16
25115668,2019.09.24 01:10:44,sell,0.03,xauusd,1522.8,1522.2,1508,2019.09.24 17:01:38,1522.35,0,0,0,1.35
25115680,2019.09.24 01:13:04,sell,0.02,xauusd,1522.75,1522.3,1508,2019.09.24 17:01:38,1522.31,0,0,0,0.88
25148355,2019.09.24 20:09:52,sell,0.06,xauusd,1532.02,1538,0,2019.09.24 21:18:43,1525.66,0,0,0,38.16
25148480,2019.09.24 20:11:20,sell,0.02,xauusd,1531.5,1538,0,2019.09.24 21:18:46,1525.63,0,0,0,11.74
25148522,2019.09.24 20:12:41,sell,0.01,xauusd,1531.86,1538,0,2019.09.24 21:18:49,1525.66,0,0,0,6.2
25159294,2019.09.25 01:53:47,sell,0.06,xauusd,1531.06,1537,0,2019.09.25 15:24:31,1527.4,0,0,0,21.96
25159303,2019.09.25 01:54:46,sell,0.01,xauusd,1531.28,1537,0,2019.09.25 15:24:35,1527.36,0,0,0,3.92
